Comune	Codice elettorale	Codice Istat	Codice Belfiore	Regione	Provincia
ALTO RENO TERME	80130130005	37062	M369	Emilia-Romagna	Bologna
ANZOLA DELL'EMILIA	80130130010	37001	A324	Emilia-Romagna	Bologna
ARGELATO	80130130020	37002	A392	Emilia-Romagna	Bologna
BARICELLA	80130130030	37003	A665	Emilia-Romagna	Bologna
BENTIVOGLIO	80130130050	37005	A785	Emilia-Romagna	Bologna
BOLOGNA	80130130060	37006	A944	Emilia-Romagna	Bologna
BORGO TOSSIGNANO	80130130070	37007	B044	Emilia-Romagna	Bologna
BUDRIO	80130130080	37008	B249	Emilia-Romagna	Bologna
CALDERARA DI RENO	80130130090	37009	B399	Emilia-Romagna	Bologna
CAMUGNANO	80130130100	37010	B572	Emilia-Romagna	Bologna
CASALECCHIO DI RENO	80130130110	37011	B880	Emilia-Romagna	Bologna
CASALFIUMANESE	80130130120	37012	B892	Emilia-Romagna	Bologna
CASTEL D'AIANO	80130130130	37013	C075	Emilia-Romagna	Bologna
CASTEL DEL RIO	80130130140	37014	C086	Emilia-Romagna	Bologna
CASTEL DI CASIO	80130130150	37015	B969	Emilia-Romagna	Bologna
CASTEL GUELFO DI BOLOGNA	80130130160	37016	C121	Emilia-Romagna	Bologna
CASTEL MAGGIORE	80130130190	37019	C204	Emilia-Romagna	Bologna
CASTEL SAN PIETRO TERME	80130130200	37020	C265	Emilia-Romagna	Bologna
CASTELLO D'ARGILE	80130130170	37017	C185	Emilia-Romagna	Bologna
CASTENASO	80130130210	37021	C292	Emilia-Romagna	Bologna
CASTIGLIONE DEI PEPOLI	80130130220	37022	C296	Emilia-Romagna	Bologna
CREVALCORE	80130130240	37024	D166	Emilia-Romagna	Bologna
DOZZA	80130130250	37025	D360	Emilia-Romagna	Bologna
FONTANELICE	80130130260	37026	D668	Emilia-Romagna	Bologna
GAGGIO MONTANO	80130130270	37027	D847	Emilia-Romagna	Bologna
GALLIERA	80130130280	37028	D878	Emilia-Romagna	Bologna
GRANAROLO DELL'EMILIA	80130130300	37030	E136	Emilia-Romagna	Bologna
GRIZZANA MORANDI	80130130310	37031	E187	Emilia-Romagna	Bologna
IMOLA	80130130320	37032	E289	Emilia-Romagna	Bologna
LIZZANO IN BELVEDERE	80130130330	37033	A771	Emilia-Romagna	Bologna
LOIANO	80130130340	37034	E655	Emilia-Romagna	Bologna
MALALBERGO	80130130350	37035	E844	Emilia-Romagna	Bologna
MARZABOTTO	80130130360	37036	B689	Emilia-Romagna	Bologna
MEDICINA	80130130370	37037	F083	Emilia-Romagna	Bologna
MINERBIO	80130130380	37038	F219	Emilia-Romagna	Bologna
MOLINELLA	80130130390	37039	F288	Emilia-Romagna	Bologna
MONGHIDORO	80130130400	37040	F363	Emilia-Romagna	Bologna
MONTE SAN PIETRO	80130130420	37042	F627	Emilia-Romagna	Bologna
MONTERENZIO	80130130410	37041	F597	Emilia-Romagna	Bologna
MONZUNO	80130130440	37044	F706	Emilia-Romagna	Bologna
MORDANO	80130130450	37045	F718	Emilia-Romagna	Bologna
OZZANO DELL'EMILIA	80130130460	37046	G205	Emilia-Romagna	Bologna
PIANORO	80130130470	37047	G570	Emilia-Romagna	Bologna
PIEVE DI CENTO	80130130480	37048	G643	Emilia-Romagna	Bologna
SALA BOLOGNESE	80130130500	37050	H678	Emilia-Romagna	Bologna
SAN BENEDETTO VAL DI SAMBRO	80130130510	37051	G566	Emilia-Romagna	Bologna
SAN GIORGIO DI PIANO	80130130520	37052	H896	Emilia-Romagna	Bologna
SAN GIOVANNI IN PERSICETO	80130130530	37053	G467	Emilia-Romagna	Bologna
SAN LAZZARO DI SAVENA	80130130540	37054	H945	Emilia-Romagna	Bologna
SAN PIETRO IN CASALE	80130130550	37055	I110	Emilia-Romagna	Bologna
SANT'AGATA BOLOGNESE	80130130560	37056	I191	Emilia-Romagna	Bologna
SASSO MARCONI	80130130570	37057	G972	Emilia-Romagna	Bologna
VALSAMOGGIA	80130130585	37061	M320	Emilia-Romagna	Bologna
VERGATO	80130130590	37059	L762	Emilia-Romagna	Bologna
ZOLA PREDOSA	80130130600	37060	M185	Emilia-Romagna	Bologna
ARGENTA	80290290010	38001	A393	Emilia-Romagna	Ferrara
BONDENO	80290290030	38003	A965	Emilia-Romagna	Ferrara
CENTO	80290290040	38004	C469	Emilia-Romagna	Ferrara
CODIGORO	80290290050	38005	C814	Emilia-Romagna	Ferrara
COMACCHIO	80290290060	38006	C912	Emilia-Romagna	Ferrara
COPPARO	80290290070	38007	C980	Emilia-Romagna	Ferrara
FERRARA	80290290080	38008	D548	Emilia-Romagna	Ferrara
FISCAGLIA	80290290085	38027	M323	Emilia-Romagna	Ferrara
GORO	80290290091	38025	E107	Emilia-Romagna	Ferrara
JOLANDA DI SAVOIA	80290290100	38010	E320	Emilia-Romagna	Ferrara
LAGOSANTO	80290290110	38011	E410	Emilia-Romagna	Ferrara
MASI TORELLO	80290290111	38012	F016	Emilia-Romagna	Ferrara
MESOLA	80290290130	38014	F156	Emilia-Romagna	Ferrara
OSTELLATO	80290290150	38017	G184	Emilia-Romagna	Ferrara
POGGIO RENATICO	80290290160	38018	G768	Emilia-Romagna	Ferrara
PORTOMAGGIORE	80290290170	38019	G916	Emilia-Romagna	Ferrara
RIVA DEL PO	80290290175	38029	M410	Emilia-Romagna	Ferrara
TERRE DEL RENO	80290290185	38028	M381	Emilia-Romagna	Ferrara
TRESIGNANA	80290290195	38030	M409	Emilia-Romagna	Ferrara
