data_estrazione;provincia;comune;tipo;candidato_riferimento;nome;voti;percentuale
2024-11-19 06:23:30;Bologna;ALTO RENO TERME;CANDIDATO;;DE PASCALE MICHELE;1240;49,13
2024-11-19 06:23:30;Bologna;ALTO RENO TERME;CANDIDATO;;UGOLINI ELENA;1204;47,70
2024-11-19 06:23:30;Bologna;ALTO RENO TERME;CANDIDATO;;SERRA FEDERICO;59;2,34
2024-11-19 06:23:30;Bologna;ALTO RENO TERME;CANDIDATO;;TEODORI LUCA;21;0,83
2024-11-19 06:23:30;Bologna;ALTO RENO TERME;LISTA;TEODORI LUCA;Candidati presidente;2524;100
2024-11-19 06:23:30;Bologna;ALTO RENO TERME;LISTA;TEODORI LUCA;Liste;2385;100
2024-11-19 06:23:41;Bologna;ANZOLA DELL'EMILIA;CANDIDATO;;DE PASCALE MICHELE;3346;66,04
2024-11-19 06:23:41;Bologna;ANZOLA DELL'EMILIA;CANDIDATO;;UGOLINI ELENA;1561;30,81
2024-11-19 06:23:41;Bologna;ANZOLA DELL'EMILIA;CANDIDATO;;SERRA FEDERICO;97;1,91
2024-11-19 06:23:41;Bologna;ANZOLA DELL'EMILIA;CANDIDATO;;TEODORI LUCA;63;1,24
2024-11-19 06:23:41;Bologna;ANZOLA DELL'EMILIA;LISTA;TEODORI LUCA;Candidati presidente;5067;100
2024-11-19 06:23:41;Bologna;ANZOLA DELL'EMILIA;LISTA;TEODORI LUCA;Liste;4660;100
2024-11-19 06:23:51;Bologna;ARGELATO;CANDIDATO;;DE PASCALE MICHELE;2536;63,51
2024-11-19 06:23:51;Bologna;ARGELATO;CANDIDATO;;UGOLINI ELENA;1327;33,23
2024-11-19 06:23:51;Bologna;ARGELATO;CANDIDATO;;SERRA FEDERICO;75;1,88
2024-11-19 06:23:51;Bologna;ARGELATO;CANDIDATO;;TEODORI LUCA;55;1,38
2024-11-19 06:23:51;Bologna;ARGELATO;LISTA;TEODORI LUCA;Candidati presidente;3993;100
2024-11-19 06:23:51;Bologna;ARGELATO;LISTA;TEODORI LUCA;Liste;3551;100
2024-11-19 06:24:01;Bologna;BARICELLA;CANDIDATO;;DE PASCALE MICHELE;1277;51,60
2024-11-19 06:24:01;Bologna;BARICELLA;CANDIDATO;;UGOLINI ELENA;1115;45,05
2024-11-19 06:24:01;Bologna;BARICELLA;CANDIDATO;;SERRA FEDERICO;42;1,70
2024-11-19 06:24:01;Bologna;BARICELLA;CANDIDATO;;TEODORI LUCA;41;1,66
2024-11-19 06:24:01;Bologna;BARICELLA;LISTA;TEODORI LUCA;Candidati presidente;2475;100
2024-11-19 06:24:01;Bologna;BARICELLA;LISTA;TEODORI LUCA;Liste;2261;100
2024-11-19 06:24:12;Bologna;BENTIVOGLIO;CANDIDATO;;DE PASCALE MICHELE;1357;60,15
