data_estrazione;provincia;comune;tipo;candidato_riferimento;nome;voti;percentuale
2024-11-19 08:52:46;Rimini;BELLARIA-IGEA MARINA;CANDIDATO;;UGOLINI ELENA;3173;51,91
2024-11-19 08:52:46;Rimini;BELLARIA-IGEA MARINA;CANDIDATO;;DE PASCALE MICHELE;2756;45,09
2024-11-19 08:52:46;Rimini;BELLARIA-IGEA MARINA;CANDIDATO;;TEODORI LUCA;108;1,77
2024-11-19 08:52:46;Rimini;BELLARIA-IGEA MARINA;CANDIDATO;;SERRA FEDERICO;75;1,23
2024-11-19 08:52:47;Rimini;BELLARIA-IGEA MARINA;LISTA;SERRA FEDERICO;Candidati presidente;6112;100
2024-11-19 08:52:47;Rimini;BELLARIA-IGEA MARINA;LISTA;SERRA FEDERICO;Liste;5560;100
2024-11-19 08:52:57;Rimini;CASTELDELCI;CANDIDATO;;UGOLINI ELENA;109;65,66
2024-11-19 08:52:57;Rimini;CASTELDELCI;CANDIDATO;;DE PASCALE MICHELE;54;32,53
2024-11-19 08:52:57;Rimini;CASTELDELCI;CANDIDATO;;SERRA FEDERICO;3;1,81
2024-11-19 08:52:57;Rimini;CASTELDELCI;CANDIDATO;;TEODORI LUCA;0;0
2024-11-19 08:52:57;Rimini;CASTELDELCI;LISTA;TEODORI LUCA;Candidati presidente;166;100
2024-11-19 08:52:57;Rimini;CASTELDELCI;LISTA;TEODORI LUCA;Liste;156;100
2024-11-19 08:53:07;Rimini;CATTOLICA;CANDIDATO;;DE PASCALE MICHELE;2837;55,42
2024-11-19 08:53:07;Rimini;CATTOLICA;CANDIDATO;;UGOLINI ELENA;2066;40,36
2024-11-19 08:53:07;Rimini;CATTOLICA;CANDIDATO;;SERRA FEDERICO;116;2,27
2024-11-19 08:53:07;Rimini;CATTOLICA;CANDIDATO;;TEODORI LUCA;100;1,95
2024-11-19 08:53:07;Rimini;CATTOLICA;LISTA;TEODORI LUCA;Candidati presidente;5119;100
2024-11-19 08:53:07;Rimini;CATTOLICA;LISTA;TEODORI LUCA;Liste;4598;100
2024-11-19 08:53:18;Rimini;CORIANO;CANDIDATO;;DE PASCALE MICHELE;1953;51,79
2024-11-19 08:53:18;Rimini;CORIANO;CANDIDATO;;UGOLINI ELENA;1696;44,97
2024-11-19 08:53:18;Rimini;CORIANO;CANDIDATO;;TEODORI LUCA;65;1,72
2024-11-19 08:53:18;Rimini;CORIANO;CANDIDATO;;SERRA FEDERICO;57;1,51
2024-11-19 08:53:18;Rimini;CORIANO;LISTA;SERRA FEDERICO;Candidati presidente;3771;100
2024-11-19 08:53:18;Rimini;CORIANO;LISTA;SERRA FEDERICO;Liste;3518;100
2024-11-19 08:53:28;Rimini;GEMMANO;CANDIDATO;;UGOLINI ELENA;195;53,13
2024-11-19 08:53:28;Rimini;GEMMANO;CANDIDATO;;DE PASCALE MICHELE;154;41,96
2024-11-19 08:53:28;Rimini;GEMMANO;CANDIDATO;;TEODORI LUCA;10;2,72
2024-11-19 08:53:28;Rimini;GEMMANO;CANDIDATO;;SERRA FEDERICO;8;2,18
2024-11-19 08:53:28;Rimini;GEMMANO;LISTA;SERRA FEDERICO;Candidati presidente;367;100
2024-11-19 08:53:28;Rimini;GEMMANO;LISTA;SERRA FEDERICO;Liste;351;100
2024-11-19 08:53:38;Rimini;MAIOLO;CANDIDATO;;UGOLINI ELENA;195;56,52
2024-11-19 08:53:38;Rimini;MAIOLO;CANDIDATO;;DE PASCALE MICHELE;142;41,16
2024-11-19 08:53:38;Rimini;MAIOLO;CANDIDATO;;TEODORI LUCA;4;1,16
2024-11-19 08:53:38;Rimini;MAIOLO;CANDIDATO;;SERRA FEDERICO;4;1,16
2024-11-19 08:53:38;Rimini;MAIOLO;LISTA;SERRA FEDERICO;Candidati presidente;345;100
2024-11-19 08:53:38;Rimini;MAIOLO;LISTA;SERRA FEDERICO;Liste;329;100
2024-11-19 08:53:48;Rimini;MISANO ADRIATICO;CANDIDATO;;DE PASCALE MICHELE;2243;54,47
2024-11-19 08:53:48;Rimini;MISANO ADRIATICO;CANDIDATO;;UGOLINI ELENA;1755;42,62
2024-11-19 08:53:48;Rimini;MISANO ADRIATICO;CANDIDATO;;TEODORI LUCA;71;1,72
2024-11-19 08:53:48;Rimini;MISANO ADRIATICO;CANDIDATO;;SERRA FEDERICO;49;1,19
2024-11-19 08:53:48;Rimini;MISANO ADRIATICO;LISTA;SERRA FEDERICO;Candidati presidente;4118;100
2024-11-19 08:53:48;Rimini;MISANO ADRIATICO;LISTA;SERRA FEDERICO;Liste;3872;100
2024-11-19 08:53:59;Rimini;MONDAINO;CANDIDATO;;DE PASCALE MICHELE;230;54,12
2024-11-19 08:53:59;Rimini;MONDAINO;CANDIDATO;;UGOLINI ELENA;183;43,06
2024-11-19 08:53:59;Rimini;MONDAINO;CANDIDATO;;TEODORI LUCA;7;1,65
2024-11-19 08:53:59;Rimini;MONDAINO;CANDIDATO;;SERRA FEDERICO;5;1,18
2024-11-19 08:53:59;Rimini;MONDAINO;LISTA;SERRA FEDERICO;Candidati presidente;425;100
2024-11-19 08:53:59;Rimini;MONDAINO;LISTA;SERRA FEDERICO;Liste;384;100
2024-11-19 08:54:09;Rimini;MONTECOPIOLO;CANDIDATO;;UGOLINI ELENA;226;57,36
2024-11-19 08:54:09;Rimini;MONTECOPIOLO;CANDIDATO;;DE PASCALE MICHELE;163;41,37
2024-11-19 08:54:09;Rimini;MONTECOPIOLO;CANDIDATO;;TEODORI LUCA;4;1,02
2024-11-19 08:54:09;Rimini;MONTECOPIOLO;CANDIDATO;;SERRA FEDERICO;1;0,25
2024-11-19 08:54:09;Rimini;MONTECOPIOLO;LISTA;SERRA FEDERICO;Candidati presidente;394;100
2024-11-19 08:54:09;Rimini;MONTECOPIOLO;LISTA;SERRA FEDERICO;Liste;375;100
2024-11-19 08:54:19;Rimini;MONTEFIORE CONCA;CANDIDATO;;UGOLINI ELENA;246;49,10
2024-11-19 08:54:19;Rimini;MONTEFIORE CONCA;CANDIDATO;;DE PASCALE MICHELE;228;45,51
2024-11-19 08:54:19;Rimini;MONTEFIORE CONCA;CANDIDATO;;TEODORI LUCA;16;3,19
2024-11-19 08:54:19;Rimini;MONTEFIORE CONCA;CANDIDATO;;SERRA FEDERICO;11;2,20
2024-11-19 08:54:19;Rimini;MONTEFIORE CONCA;LISTA;SERRA FEDERICO;Candidati presidente;501;100
2024-11-19 08:54:19;Rimini;MONTEFIORE CONCA;LISTA;SERRA FEDERICO;Liste;469;100
