data_estrazione;provincia;comune;tipo;candidato_riferimento;nome;voti;percentuale
2024-11-19 07:27:02;Perugia;ASSISI;LISTA;;PROIETTI STEFANIA;6259;49,27
2024-11-19 07:27:02;Perugia;ASSISI;LISTA;;TESEI DONATELLA;6143;48,36
2024-11-19 07:27:02;Perugia;ASSISI;LISTA;;RIZZO MARCO;127;1,00
2024-11-19 07:27:02;Perugia;ASSISI;LISTA;;LEONARDI MARTINA;54;0,43
2024-11-19 07:27:02;Perugia;ASSISI;LISTA;;PAOLONE GIUSEPPE;32;0,25
2024-11-19 07:27:02;Perugia;ASSISI;LISTA;;FIORINI ELIA FRANCESCO;27;0,21
2024-11-19 07:27:02;Perugia;ASSISI;LISTA;;PASQUINELLI MORENO;23;0,18
2024-11-19 07:27:02;Perugia;ASSISI;LISTA;;PIGNALBERI FABRIZIO;21;0,17
2024-11-19 07:27:02;Perugia;ASSISI;LISTA;;TRITTO GIUSEPPE;17;0,13
2024-11-19 07:27:02;Perugia;ASSISI;LISTA;;Candidati presidente;12703;100
2024-11-19 07:27:02;Perugia;ASSISI;LISTA;;Liste;10400;100
2024-11-19 07:27:13;Perugia;BASTIA UMBRA;LISTA;;PROIETTI STEFANIA;4378;51,18
2024-11-19 07:27:13;Perugia;BASTIA UMBRA;LISTA;;TESEI DONATELLA;4005;46,82
2024-11-19 07:27:13;Perugia;BASTIA UMBRA;LISTA;;RIZZO MARCO;74;0,87
2024-11-19 07:27:13;Perugia;BASTIA UMBRA;LISTA;;LEONARDI MARTINA;27;0,32
2024-11-19 07:27:13;Perugia;BASTIA UMBRA;LISTA;;PAOLONE GIUSEPPE;21;0,25
2024-11-19 07:27:13;Perugia;BASTIA UMBRA;LISTA;;TRITTO GIUSEPPE;20;0,23
2024-11-19 07:27:13;Perugia;BASTIA UMBRA;LISTA;;PASQUINELLI MORENO;14;0,16
2024-11-19 07:27:13;Perugia;BASTIA UMBRA;LISTA;;FIORINI ELIA FRANCESCO;8;0,09
2024-11-19 07:27:13;Perugia;BASTIA UMBRA;LISTA;;PIGNALBERI FABRIZIO;7;0,08
2024-11-19 07:27:13;Perugia;BASTIA UMBRA;LISTA;;Candidati presidente;8554;100
2024-11-19 07:27:13;Perugia;BASTIA UMBRA;LISTA;;Liste;6877;100
2024-11-19 07:27:23;Perugia;BETTONA;LISTA;;TESEI DONATELLA;981;53,72
2024-11-19 07:27:23;Perugia;BETTONA;LISTA;;PROIETTI STEFANIA;803;43,98
2024-11-19 07:27:23;Perugia;BETTONA;LISTA;;RIZZO MARCO;26;1,42
2024-11-19 07:27:23;Perugia;BETTONA;LISTA;;FIORINI ELIA FRANCESCO;5;0,27
2024-11-19 07:27:23;Perugia;BETTONA;LISTA;;PAOLONE GIUSEPPE;3;0,16
2024-11-19 07:27:23;Perugia;BETTONA;LISTA;;LEONARDI MARTINA;3;0,16
2024-11-19 07:27:23;Perugia;BETTONA;LISTA;;TRITTO GIUSEPPE;2;0,11
2024-11-19 07:27:23;Perugia;BETTONA;LISTA;;PASQUINELLI MORENO;2;0,11
2024-11-19 07:27:23;Perugia;BETTONA;LISTA;;PIGNALBERI FABRIZIO;1;0,05
2024-11-19 07:27:23;Perugia;BETTONA;LISTA;;Candidati presidente;1826;100
2024-11-19 07:27:23;Perugia;BETTONA;LISTA;;Liste;1605;100
2024-11-19 07:27:33;Perugia;BEVAGNA;LISTA;;PROIETTI STEFANIA;976;49,92
2024-11-19 07:27:33;Perugia;BEVAGNA;LISTA;;TESEI DONATELLA;935;47,83
2024-11-19 07:27:33;Perugia;BEVAGNA;LISTA;;RIZZO MARCO;16;0,82
2024-11-19 07:27:33;Perugia;BEVAGNA;LISTA;;LEONARDI MARTINA;12;0,61
2024-11-19 07:27:33;Perugia;BEVAGNA;LISTA;;TRITTO GIUSEPPE;9;0,46
2024-11-19 07:27:33;Perugia;BEVAGNA;LISTA;;PASQUINELLI MORENO;4;0,20
2024-11-19 07:27:33;Perugia;BEVAGNA;LISTA;;FIORINI ELIA FRANCESCO;2;0,10
2024-11-19 07:27:33;Perugia;BEVAGNA;LISTA;;PIGNALBERI FABRIZIO;1;0,05
2024-11-19 07:27:33;Perugia;BEVAGNA;LISTA;;PAOLONE GIUSEPPE;0;0
2024-11-19 07:27:33;Perugia;BEVAGNA;LISTA;;Candidati presidente;1955;100
2024-11-19 07:27:33;Perugia;BEVAGNA;LISTA;;Liste;1710;100
2024-11-19 07:27:43;Perugia;CAMPELLO SUL CLITUNNO;LISTA;;PROIETTI STEFANIA;450;50,00
2024-11-19 07:27:43;Perugia;CAMPELLO SUL CLITUNNO;LISTA;;TESEI DONATELLA;420;46,67
2024-11-19 07:27:44;Perugia;CAMPELLO SUL CLITUNNO;LISTA;;RIZZO MARCO;12;1,33
2024-11-19 07:27:44;Perugia;CAMPELLO SUL CLITUNNO;LISTA;;PASQUINELLI MORENO;7;0,78
2024-11-19 07:27:44;Perugia;CAMPELLO SUL CLITUNNO;LISTA;;LEONARDI MARTINA;4;0,44
2024-11-19 07:27:44;Perugia;CAMPELLO SUL CLITUNNO;LISTA;;TRITTO GIUSEPPE;4;0,44
2024-11-19 07:27:44;Perugia;CAMPELLO SUL CLITUNNO;LISTA;;FIORINI ELIA FRANCESCO;3;0,33
2024-11-19 07:27:44;Perugia;CAMPELLO SUL CLITUNNO;LISTA;;PAOLONE GIUSEPPE;0;0
2024-11-19 07:27:44;Perugia;CAMPELLO SUL CLITUNNO;LISTA;;PIGNALBERI FABRIZIO;0;0
2024-11-19 07:27:44;Perugia;CAMPELLO SUL CLITUNNO;LISTA;;Candidati presidente;900;100
2024-11-19 07:27:44;Perugia;CAMPELLO SUL CLITUNNO;LISTA;;Liste;819;100
2024-11-19 07:27:54;Perugia;CANNARA;LISTA;;TESEI DONATELLA;998;49,36
2024-11-19 07:27:54;Perugia;CANNARA;LISTA;;PROIETTI STEFANIA;972;48,07
2024-11-19 07:27:54;Perugia;CANNARA;LISTA;;RIZZO MARCO;29;1,43
2024-11-19 07:27:54;Perugia;CANNARA;LISTA;;PASQUINELLI MORENO;7;0,35
2024-11-19 07:27:54;Perugia;CANNARA;LISTA;;LEONARDI MARTINA;6;0,30
2024-11-19 07:27:54;Perugia;CANNARA;LISTA;;TRITTO GIUSEPPE;6;0,30
2024-11-19 07:27:54;Perugia;CANNARA;LISTA;;PAOLONE GIUSEPPE;2;0,10
2024-11-19 07:27:54;Perugia;CANNARA;LISTA;;FIORINI ELIA FRANCESCO;1;0,05
2024-11-19 07:27:54;Perugia;CANNARA;LISTA;;PIGNALBERI FABRIZIO;1;0,05
2024-11-19 07:27:54;Perugia;CANNARA;LISTA;;Candidati presidente;2022;100
2024-11-19 07:27:54;Perugia;CANNARA;LISTA;;Liste;1879;100
2024-11-19 07:28:04;Perugia;CASCIA;LISTA;;TESEI DONATELLA;706;51,91
2024-11-19 07:28:04;Perugia;CASCIA;LISTA;;PROIETTI STEFANIA;640;47,06
2024-11-19 07:28:04;Perugia;CASCIA;LISTA;;RIZZO MARCO;7;0,51
2024-11-19 07:28:04;Perugia;CASCIA;LISTA;;FIORINI ELIA FRANCESCO;3;0,22
2024-11-19 07:28:04;Perugia;CASCIA;LISTA;;PIGNALBERI FABRIZIO;2;0,15
2024-11-19 07:28:04;Perugia;CASCIA;LISTA;;LEONARDI MARTINA;1;0,07
2024-11-19 07:28:04;Perugia;CASCIA;LISTA;;TRITTO GIUSEPPE;1;0,07
2024-11-19 07:28:04;Perugia;CASCIA;LISTA;;PAOLONE GIUSEPPE;0;0
2024-11-19 07:28:04;Perugia;CASCIA;LISTA;;PASQUINELLI MORENO;0;0
2024-11-19 07:28:04;Perugia;CASCIA;LISTA;;Candidati presidente;1360;100
2024-11-19 07:28:04;Perugia;CASCIA;LISTA;;Liste;1285;100
2024-11-19 07:28:15;Perugia;CASTEL RITALDI;LISTA;;TESEI DONATELLA;643;49,92
2024-11-19 07:28:15;Perugia;CASTEL RITALDI;LISTA;;PROIETTI STEFANIA;601;46,66
2024-11-19 07:28:15;Perugia;CASTEL RITALDI;LISTA;;TRITTO GIUSEPPE;13;1,01
2024-11-19 07:28:15;Perugia;CASTEL RITALDI;LISTA;;RIZZO MARCO;10;0,78
2024-11-19 07:28:15;Perugia;CASTEL RITALDI;LISTA;;LEONARDI MARTINA;9;0,70
2024-11-19 07:28:15;Perugia;CASTEL RITALDI;LISTA;;FIORINI ELIA FRANCESCO;6;0,47
2024-11-19 07:28:15;Perugia;CASTEL RITALDI;LISTA;;PASQUINELLI MORENO;4;0,31
2024-11-19 07:28:15;Perugia;CASTEL RITALDI;LISTA;;PIGNALBERI FABRIZIO;2;0,16
2024-11-19 07:28:15;Perugia;CASTEL RITALDI;LISTA;;PAOLONE GIUSEPPE;0;0
2024-11-19 07:28:15;Perugia;CASTEL RITALDI;LISTA;;Candidati presidente;1288;100
2024-11-19 07:28:15;Perugia;CASTEL RITALDI;LISTA;;Liste;1162;100
2024-11-19 07:28:25;Perugia;CASTIGLIONE DEL LAGO;LISTA;;PROIETTI STEFANIA;3393;62,19
2024-11-19 07:28:25;Perugia;CASTIGLIONE DEL LAGO;LISTA;;TESEI DONATELLA;1935;35,47
2024-11-19 07:28:25;Perugia;CASTIGLIONE DEL LAGO;LISTA;;RIZZO MARCO;47;0,86
2024-11-19 07:28:25;Perugia;CASTIGLIONE DEL LAGO;LISTA;;LEONARDI MARTINA;45;0,82
2024-11-19 07:28:25;Perugia;CASTIGLIONE DEL LAGO;LISTA;;TRITTO GIUSEPPE;11;0,20
2024-11-19 07:28:25;Perugia;CASTIGLIONE DEL LAGO;LISTA;;FIORINI ELIA FRANCESCO;9;0,16
2024-11-19 07:28:25;Perugia;CASTIGLIONE DEL LAGO;LISTA;;PAOLONE GIUSEPPE;8;0,15
2024-11-19 07:28:25;Perugia;CASTIGLIONE DEL LAGO;LISTA;;PASQUINELLI MORENO;6;0,11
2024-11-19 07:28:25;Perugia;CASTIGLIONE DEL LAGO;LISTA;;PIGNALBERI FABRIZIO;2;0,04
